	id	name	energy	duration_ms	track_href	album_image
64	09CtPGIpYB4BrO8qb1RGsF	Sorry	0.76	200787.0	https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF	https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de
65	5Nm9ERjJZ5oyfXZTECKmRt	Stay With Me	0.42	172724.0	https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt	https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae
66	6FZDfxM3a3UCqtzo5pxSLZ	Without Me	0.488	201661.0	https://api.spotify.com/v1/tracks/6FZDfxM3a3UCqtzo5pxSLZ	https://i.scdn.co/image/ab67616d0000b2737636e1c9e67eaafc9f49aefd
67	3VlbOrM6nYPprVvzBZllE5	Too Good At Goodbyes	0.372	201000.0	https://api.spotify.com/v1/tracks/3VlbOrM6nYPprVvzBZllE5	https://i.scdn.co/image/ab67616d0000b2735da90b8a4dd6060cbcc0a6d9
68	5Z9KJZvQzH6PFmb8SNkxuk	INDUSTRY BABY (feat. Jack Harlow)	0.691	212353.0	https://api.spotify.com/v1/tracks/5Z9KJZvQzH6PFmb8SNkxuk	https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
69	4vS8VaBwJJV5Ry7UFIQuoo	Lean On (feat. MØ & DJ Snake)	0.809	176561.0	https://api.spotify.com/v1/tracks/4vS8VaBwJJV5Ry7UFIQuoo	https://i.scdn.co/image/ab67616d0000b2733cef8ef366eb38ea230d2070
70	7lQ8MOhq6IN2w8EYcFNSUk	Without Me	0.669	290320.0	https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk	https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
71	0e8nrvls4Qqv5Rfa2UhqmO	THATS WHAT I WANT	0.846	143901.0	https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO	https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
72	3a1lNhkSLSkpJE4MSHpDu9	Congratulations	0.804	220293.0	https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9	https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41
73	4cktbXiXOapiLBMprHFErI	Memories	0.327	189486.0	https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI	https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631
74	7JJmb5XwzOO8jgpou264Ml	There's Nothing Holdin' Me Back	0.813	199440.0	https://api.spotify.com/v1/tracks/7JJmb5XwzOO8jgpou264Ml	https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521
75	0nJW01T7XtvILxQgC5J7Wh	When I Was Your Man	0.28	213827.0	https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh	https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
76	4MzXwWMhyBbmu6hOcLVD49	DÁKITI	0.573	205090.0	https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49	https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab
77	7dt6x5M1jzdTEt8oCbisTK	Better Now	0.578	231267.0	https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK	https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
78	32OlwWuMpZ6b0aN2RZOeMS	Uptown Funk (feat. Bruno Mars)	0.609	269667.0	https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS	https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2
79	3B54sVLJ402zGa6Xm4YGNe	Unforgettable	0.769	233902.0	https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe	https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07
80	7fPuWrlpwDcHm5aHCH5D9t	Roses - Imanbek Remix	0.721	176219.0	https://api.spotify.com/v1/tracks/7fPuWrlpwDcHm5aHCH5D9t	https://i.scdn.co/image/ab67616d0000b2732b6e2fb9f84af69f55dc6b77
81	7BqBn9nzAq8spo5e7cZ0dJ	Just the Way You Are	0.841	220734.0	https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ	https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
82	5wj4E6IsrVtn8IBJQOd0Cl	Wonderwall - Remastered	0.865	258733.0	https://api.spotify.com/v1/tracks/5wj4E6IsrVtn8IBJQOd0Cl	https://i.scdn.co/image/ab67616d0000b2731f2be6f8ed797aeb11973194
83	5ghIJDpPoe3CfHMGu71E6T	Smells Like Teen Spirit	0.912	301920.0	https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T	https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf
84	7gHs73wELdeycvS48JfIos	Faded	0.651	212627.0	https://api.spotify.com/v1/tracks/7gHs73wELdeycvS48JfIos	https://i.scdn.co/image/ab67616d0000b273c4d00cac55ae1b4598c9bc90
85	1mea3bSkSGXuIRvnydlB5b	Viva La Vida	0.617	242373.0	https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b	https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e
86	1MtUq6Wp1eQ8PC6BbPCj8P	I Took A Pill In Ibiza - Seeb Remix	0.714	197933.0	https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P	https://i.scdn.co/image/ab67616d0000b273a19be7aca4a1fcd6e8a42c62
87	4xkOaSrkexMciUUogZKVTS	Till I Collapse	0.847	297787.0	https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS	https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
88	1SC5rEoYDGUK4NfG82494W	MONTERO (Call Me By Your Name)	0.503	137704.0	https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W	https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
89	7rglLriMNBPAyuJOMGwi39	Cold Heart - PNAU Remix	0.8	202735.0	https://api.spotify.com/v1/tracks/7rglLriMNBPAyuJOMGwi39	https://i.scdn.co/image/ab67616d0000b273523458c391fe8180a19a1069
90	60a0Rd6pjrkxjPbaKzXjfq	In the End	0.864	216880.0	https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq	https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
91	1JSTJqkT5qHq8MDJnJbRE1	Every Breath You Take	0.452	253920.0	https://api.spotify.com/v1/tracks/1JSTJqkT5qHq8MDJnJbRE1	https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e
92	7hQJA50XrCWABAu5v6QZ4i	Don't Stop Me Now - Remastered 2011	0.865	209413.0	https://api.spotify.com/v1/tracks/7hQJA50XrCWABAu5v6QZ4i	https://i.scdn.co/image/ab67616d0000b273008b06ec71019afd70153889
93	0w75KG0DuLDi6tdHmEMovD	Don't Let Me Down	0.868	208667.0	https://api.spotify.com/v1/tracks/0w75KG0DuLDi6tdHmEMovD	https://i.scdn.co/image/ab67616d0000b2737c3b8acbb943c8da17364f34
94	3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	0.653	207320.0	https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ	https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
95	5QO79kh1waicV47BqGRL3g	Save Your Tears	0.826	215627.0	https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g	https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
96	0bYg9bo50gSsH3LtXe2SQn	All I Want for Christmas Is You	0.627	241107.0	https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn	https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
